epoch,Cos,NT-Xent,CKA,RPF_base
9,0.156492024943515,0.1547171374962790,0.1620840844125720,0.1533873635031700
19,0.18135872212158500,0.15761373985819300,0.18300713729767000,0.15498509014991000
29,0.20878142304575400,0.16825649408660800,0.21648029376014100,0.1574303404884660
39,0.2354916868491390,0.1774013025052060,0.23614856467289300,0.16226345606050000
49,0.2591412161015540,0.18843454329538400,0.2725504889714980,0.17004880899483300
59,0.2839989454371450,0.1998339200074610,0.2897978149703700,0.172609798003324
69,0.32158347104077800,0.2112708821729090,0.3121220226980250,0.18018887764187400
79,0.31895138273830500,0.23417391139011000,0.323067418387404,0.18247982492116000
89,0.35871502712223900,0.24422716643168900,0.3531704840558530,0.19246793948624400
99,0.382744640897011,0.27128059566106800,0.36605326658101400,0.19405164440915400
109,0.3920098184992000,0.2703361812106820,0.3931040703753190,0.2040851800065570
119,0.40569487164182500,0.2698932408279320,0.4078699865664230,0.21348315250695300
129,0.38010242199343900,0.29598016143284100,0.4201657749439560,0.22584860966150600
139,0.42247593310016600,0.3195965631591100,0.4324638019430410,0.22380434382100000
149,0.42558144299231400,0.3390065893720740,0.4368911749283980,0.2586353715150390
159,0.410818779984199,0.3466405878511460,0.4168219303456520,0.2492469774681280
169,0.43864610578486000,0.3568081354174180,0.45195325444782600,0.2525051894099600
179,0.4554906907977090,0.3514372957195250,0.46201612652073300,0.25404207433739000
189,0.4659884636608610,0.3714177224216850,0.4670597483448350,0.2778786729010240
199,0.46630702921586300,0.3856460817714540,0.475292828819308,0.2822923492967080
209,0.47209739739186900,0.3873380581592110,0.5067714224345260,0.28980722725028800
219,0.48814497024181600,0.38275864269879300,0.4899062234917890,0.29708500227344100
229,0.4742311013361050,0.4082900221053070,0.49216404364069300,0.302313096053635
239,0.489411431012845,0.41970775092543500,0.4979689328613520,0.3200684605895340
249,0.49578886089219600,0.4148819033203450,0.5145452396312470,0.3214431167000500
259,0.4882538608906570,0.42266078259448600,0.4978192674621590,0.3308133098182790
269,0.5017617856625650,0.4167471472739310,0.5210746956233420,0.3436052528621260
279,0.4975938185127200,0.42234673503128900,0.5315958665882820,0.3286524413138740
289,0.5233008241102950,0.4359157183338780,0.5392938094575260,0.3511572188827050
299,0.49387564834710200,0.441056094348257,0.536168178722604,0.3574889246970760
309,0.5214527136224920,0.4381233725764080,0.5543726189653620,0.3624360541558780
319,0.5424339849789070,0.44738129727455600,0.549785161032828,0.3708122839645930
329,0.5283323918866690,0.4543326639417140,0.5583966347953350,0.35848133833377600
339,0.5204107329219800,0.4498529760887440,0.5509576837860950,0.3880905355365
349,0.5459137458967800,0.4706285598663500,0.5668069705816530,0.3925345709648070
359,0.5387729345598990,0.45851355608548900,0.5580390772195900,0.3769272397724110
369,0.5505559884673020,0.4752756579734720,0.5639800710501490,0.4018031700023310
379,0.5420430447704920,0.48478022539729600,0.551731512596264,0.4008744521911990
389,0.5536852544345360,0.4958923779593560,0.564037372246022,0.3877784982108950
399,0.5573763440687070,0.4734444158985740,0.5810577361596380,0.4034802074833740
409,0.5337766835331960,0.4905391408316120,0.5724364484313940,0.3967199047450570
419,0.5445079731532630,0.47470586938753900,0.5805980567233520,0.40617521362332400
429,0.5505709245063360,0.4696937734723950,0.5816476681459600,0.4105734436645850
439,0.5659866154019260,0.48790806151910300,0.5741073191573850,0.41808273624123000
449,0.535768381394131,0.4911293218720540,0.5798644800577410,0.42078795657015100
459,0.5801564826025080,0.4900110173420830,0.577904653974969,0.43224606853475600
469,0.5488979524005300,0.4882688097737840,0.5915345527645830,0.4300582227619180
479,0.5619657145973890,0.5191656726667250,0.5903824736263040,0.4283416824375730
489,0.5727271220663970,0.5149318185288050,0.5703548535100590,0.43407282687639700
499,0.5541530811074230,0.5419898588905970,0.5984128467239090,0.43169638073810400
509,0.5625357688027700,0.5154577985157350,0.5833898775017590,0.4369055737195480
519,0.5583257898926870,0.5280458523837480,0.6011352053443620,0.4267172882811460
529,0.5752315346073340,0.5260316001894960,0.6002080491483960,0.4475804963974530
539,0.581057198593998,0.5202727564049930,0.6052572568742560,0.4568100432525620
549,0.5792941304558760,0.5181747360131610,0.6057144312190890,0.429765303333893
559,0.5838591404238690,0.5100897166617480,0.6073482203529670,0.45517251182172900
569,0.5677036904397360,0.5065041230571620,0.6057510581993510,0.4402504426018780
579,0.5801767418967350,0.5378524573838540,0.6086013280520820,0.46359517402946000
589,0.561165265768545,0.531661388102144,0.6122745755226370,0.47411425687638900
599,0.5735030595619200,0.5263553992461040,0.5999819471438310,0.4566028624117950
609,0.5734028463394070,0.528270635432058,0.6143269149400960,0.46001544274026200
619,0.5739787486055010,0.5281353929026630,0.6156167246906570,0.4709574014142150
629,0.5808736188692660,0.5338342149417990,0.6110490712997520,0.4664259310296480
639,0.5921404805410360,0.5482438235814670,0.6099880530544730,0.4649739843782720
649,0.5894537416165580,0.5438681203525110,0.6136842715171300,0.46852442409106500
659,0.5932282124506210,0.5376487201009110,0.6155021275872210,0.4712670731530470
669,0.5950371013674220,0.5542995072364500,0.6145721176771840,0.4623361311191660
679,0.5818687721921830,0.5424200335949790,0.6222953277279350,0.48059254947555500
689,0.5852192481877150,0.5506014102155280,0.6047728404347390,0.47616918451013400
699,0.5882554477720990,0.5433191845193980,0.6150702106302170,0.4867292491363200
709,0.5995251610288280,0.5408621076816510,0.6130566968182750,0.4789875793136220
719,0.5959477156639710,0.5179101044594090,0.6250705145622440,0.48397024529346800
729,0.6063116424825310,0.549834015791125,0.6130049074341570,0.4746471560812080
739,0.5969540325163280,0.5450191661433060,0.6180937755755130,0.47525007206947600
749,0.6000506292659310,0.5352855613021010,0.6223353838083360,0.48632647882460900
759,0.6114541223543680,0.5646927843755880,0.6159391163201380,0.49044056533793800
769,0.5882493605454110,0.5501532937876200,0.6278572051877020,0.4942652149374990
779,0.5892274657855490,0.5548396205406000,0.6130132980603670,0.49846445948227100
789,0.566080395399963,0.5549477226397630,0.6226056868174180,0.48338938685211300
799,0.5884809583982790,0.5587625870179120,0.6268559382373440,0.5001611758713410
809,0.6009805905768650,0.5519722626464860,0.6192196783061960,0.503737953385113
819,0.5889206785920030,0.5649487028028680,0.6315662733922790,0.47246639729314300
829,0.5977037416758650,0.5723402869380000,0.625736975218179,0.49770563504836100
839,0.6088436530787520,0.5558160692081240,0.61882774739051,0.5028497311358200
849,0.6029488833491850,0.5678404791389890,0.6235273844067710,0.4990150855067400
859,0.5908472398381880,0.5617180225044800,0.6272412252557070,0.5044265947627670
869,0.5805709879710840,0.5517881863044870,0.6273684893774350,0.49371665473178100
879,0.5967982163040640,0.5687703622400580,0.6393969882612180,0.5040317235145240
889,0.6211546182042740,0.5652635042363830,0.6301035169317850,0.5135165295138050
899,0.599700475359702,0.5786542979820030,0.6414220134396540,0.5027231768598560
909,0.607398089752857,0.5512435128707170,0.6268941955784050,0.5180489882143580
919,0.5899619037981080,0.5483562668196700,0.6341742427857900,0.5239848936635990
929,0.5859927778560710,0.5690536801400310,0.6263402038397930,0.5129386350857460
939,0.5679222974953910,0.562817583058829,0.6290708980995390,0.5158120819759180
949,0.573285598691446,0.5535791865473640,0.6341446589866510,0.5159583332250370
959,0.5871404994796340,0.5732652834405720,0.6334383556634550,0.5254398487941520
969,0.5786059780404660,0.5678181216184180,0.6328708047610730,0.5239855717823720
979,0.5739274818064230,0.5673069234822450,0.6374005428911380,0.508819700224701
989,0.5102052447497250,0.5686649631746550,0.6388400775541700,0.5266721894431160
999,0.5628107714466270,0.5635205244874010,0.6323606581620390,0.5308481740667940
1009,0.6053951110353990,0.6015720850605320,0.6572243775847960,0.549679440946927
1019,0.6066958025209010,0.6036425153290680,0.6580145203536590,0.5491387221862500
1029,0.6110185020298840,0.6030130713722920,0.6583873160084670,0.5559426581813400
1039,0.62356735853985,0.6074687494912100,0.6660211593254760,0.5563336466720560
1049,0.6286355625660560,0.6076069051327310,0.66262704992455,0.5570876578071350
1059,0.6244242367929620,0.6046395278726630,0.6599105271056570,0.5514000621796050
1069,0.6290264733939160,0.6099355453145820,0.6588563649794930,0.5535989998874150
1079,0.6308750749950210,0.6067261115218930,0.6595310680670800,0.5545503034601830
1089,0.6267648368950300,0.6140986463927180,0.6575781438293580,0.559228144344429
1099,0.6389963104564710,0.6080221968681980,0.6604725165045950,0.561026370131361
1109,0.6248773576242780,0.6136997435039170,0.6587559244085910,0.5655204210307290
1119,0.6327393571686360,0.6113528062994530,0.6536730243888830,0.560195510267551
1129,0.6277297234742860,0.6101668798839430,0.6593532319933070,0.5607537655894580
1139,0.622723175174572,0.6198632100863730,0.6658356009019240,0.5679618561226250
1149,0.635443336436273,0.6139111695951900,0.6593456182308730,0.5620199698832200
1159,0.643365063251294,0.6157499799420430,0.654871730338095,0.5664964978486300
1169,0.6396838889758340,0.6129497998490930,0.6627697334395810,0.5601754720515060
1179,0.6421984181649690,0.6116134049349420,0.6639254614980380,0.5625864221663390
1189,0.6246115548083400,0.6150704041275110,0.653938217256285,0.5650222030784130
1199,0.6333784447318770,0.6211976191502730,0.6622944643883680,0.5654376107210780
1209,0.6545340507331810,0.6275908918178180,0.6709206318282370,0.5746184272143410
1219,0.6464566665899090,0.6312299760675910,0.6694298371745150,0.5691466177422480
1229,0.6555105485604150,0.6277135910206770,0.672275831629942,0.5774873831072250
1239,0.6563405540610040,0.6305665849618800,0.6735104280841240,0.5776234559402760
1249,0.6611488966803740,0.6336641147294750,0.6720450061075700,0.5819288579977050
1259,0.6555030689919250,0.6312706861785730,0.6757560905518080,0.5791357074349880
1269,0.6549023570636950,0.6311498704732810,0.6754884509065330,0.5808327261754030
1279,0.6595509903733030,0.6356203177517770,0.678978494562201,0.5797593162502890
1289,0.6577397346337700,0.6360841837931580,0.6798020756460410,0.5791346103959190
1299,0.659387670650355,0.6368756864506650,0.6791986200620220,0.5834176492191220
1309,0.6580469545757510,0.6344775014858000,0.6782096018955080,0.5826874051262630
1319,0.6560560469186410,0.6312986113473140,0.6772221901941160,0.5863307216455190
1329,0.6570680973210210,0.6340645872355630,0.6798798776895850,0.5835993084484010
1339,0.6584847777753640,0.6362818255960910,0.680153570259343,0.5840931518807760
1349,0.6602741552762050,0.6364333954561960,0.6783880444759310,0.5860851234668140
1359,0.6611701007412370,0.6404465620995680,0.6787585917601200,0.5843067254998040
1369,0.6572817323822910,0.6340984978871020,0.6768382066468610,0.5841160096248640
1379,0.6564360584903390,0.6360965667201350,0.676881146117459,0.5839299425641630
1389,0.6567312160904760,0.6343547134139180,0.6749765673577390,0.5827955368884310
1399,0.6591105858383120,0.6390075584197010,0.678925868367574,0.5872900617763600
1409,0.6680201580900640,0.6423842077948380,0.6850287871467250,0.5867823825363780
1419,0.6658966028168280,0.6448150885236050,0.6819689674446070,0.5886357290654530
1429,0.668164251951432,0.6439224891376500,0.6838974355916550,0.5911096344242960
1439,0.6711150509499480,0.6433433557743180,0.6847743736978400,0.5908806378605820
1449,0.6642737076248020,0.6441472689936040,0.6834217876436370,0.5901475771138020
1459,0.6699261067210430,0.6449473048102290,0.6822952794559500,0.5908337930707860
1469,0.666261049605845,0.6410487044233350,0.682111968663254,0.5934573112489350
1479,0.6649428470221020,0.6448979925855200,0.6839048870019500,0.592543240808586
1489,0.6691893125995400,0.6453195601605360,0.6849503758357220,0.5908295845827110
1499,0.672578033062221,0.6445985082219660,0.6856834794579310,0.5930897150361400
1509,0.6687099942906480,0.6483358821223800,0.6878321320288450,0.590891208608213
1519,0.670976195830306,0.645982646625718,0.6859498184458660,0.5958649983467840
1529,0.6666481848841930,0.6450194943353690,0.6842714941635300,0.5923482412178940
1539,0.6701853176868490,0.6447569388344210,0.6827261500531950,0.5931046614013080
1549,0.668392186397095,0.6447368427978920,0.6855153837610990,0.5883699574648040
1559,0.6699774627181130,0.6467271090342500,0.6862265710644020,0.5925603541605210
1569,0.6706350974249080,0.6452346308685010,0.6821624946775250,0.5948046691332600
1579,0.6707425996163560,0.6446021503549870,0.6861938606455280,0.5895845662128780
1589,0.6686013187754130,0.6491171157041940,0.6857983647045570,0.5935141292835310
1599,0.6721324018977080,0.646013082571654,0.6867248487749930,0.5907305804731090
1609,0.6741796684161320,0.6514265323377440,0.6881482206133760,0.6000971556438390
1619,0.675237793901689,0.650386300176758,0.6845491915172130,0.5965600840436760
1629,0.6720906940005440,0.648274266710419,0.6864233840076580,0.5965647841569940
1639,0.6744704060614320,0.649196877401679,0.6874222029907030,0.5996859573621250
1649,0.6734908526557210,0.6505382754558460,0.6872356035882610,0.5973025690303780
1659,0.6738654097692930,0.6507437925887880,0.6872741863103850,0.5954761497972660
1669,0.6734804011450520,0.6500672010197230,0.6869218684604090,
1679,0.6721417567982300,0.6483419659878150,0.6874748962026250,
1689,0.6727478758507830,0.6517056034773890,0.6845854943349560,
1699,0.6717984551858710,0.6522354262296040,0.6875467165296930,0.5952451022174380
1709,0.6737407019708240,0.6490364268409720,0.6897421594836550,0.5957621943542440
1719,0.6749642345091500,0.6483550075506960,0.688411891195383,0.5974988031604700
1729,0.6755043197894130,0.6523330683376710,0.6871931389612090,0.5975802102573240
1739,0.6726479968738350,0.6497398978764800,0.6906679004144980,0.5949602536313220
1749,0.6710154766027940,0.6493713113166330,0.6878699444563100,0.5985476882206510
1759,0.6762352520917240,0.652772107996766,0.6905564098179030,0.5958794260292110
1769,0.6752879279097890,0.651187228756722,0.6865775958979870,0.5973012715966450
1779,0.6764077826798610,0.6502327240576980,0.6885456920445890,0.5980715979235130
1789,0.6742467147987110,0.6505509283067750,0.6890659713206360,0.5995954284420600
1799,0.6764579291770820,0.647961268266119,0.6892257345192420,0.5948954467710820
1809,0.674943301010854,0.6511617036389390,0.689822740527681,0.600722062151944
1819,0.6763749019499030,0.6547730234597110,0.6885784684053480,0.5966407653403790
1829,0.6754794384385780,0.6532098561120750,0.6891216434682450,0.5961794022546570
1839,0.6759737782246150,0.6530534419513570,0.6914378968959670,0.5979212136034090
1849,0.678190081251726,0.6501042766935010,0.6902466090503400,0.5997990615965060
1859,0.6751805022611760,0.651386207441721,0.6874908325424590,0.5980590245976080
1869,0.6774922817569520,0.6515975249437410,0.690821299035499,0.5987198661736570
1879,0.6786027937766340,0.6518812986667130,0.6919725496330500,0.5975045269972080
1889,0.6793705073011600,0.6524558993987740,0.6921682041706170,0.599746950775133
1899,0.6774086201621690,0.6508852141953670,0.6894852736708140,0.5965132934306600
1909,0.67269752613702,0.6543726163988330,0.6905984785150140,0.5970778560991590
1919,0.6744736995179200,0.6511658138827400,0.6885668736652060,0.5961148570213930
1929,0.6760279767147980,0.6536069275163870,0.6917188502103850,0.5999677743952150
1939,0.6793538004977700,0.6530621500423880,0.6911567638928290,0.5970720489200240
1949,0.680627766961793,0.6528424052273490,0.6890636470834880,0.5992382340856970
1959,0.6774587109169660,0.6527046514517570,0.6924458618428980,0.5985219002747620
1969,0.6765675879010580,0.6516354252461660,0.6904639822543510,0.5986162966227480
1979,0.6795551510511990,0.6544395151696470,0.6937017306405380,0.5994292277683880
1989,0.6764910452484850,0.6536662343376100,0.6902838486023,0.5996713680434650
1999,0.6768622356874880,0.6517292271398260,0.6899235091629230,0.5998123563192960
